Source,Target,Weight
3-D MAN/CHARLES CHAN,PEATOR,1
3-D MAN/CHARLES CHAN,"PEREGRINE, LE/FRANCK",1
3-D MAN/CHARLES CHAN,PHARAOH RAMA-TUT,1
3-D MAN/CHARLES CHAN,PROFESSOR X/CHARLES,1
3-D MAN/CHARLES CHAN,QUASAR III/WENDELL V,1
3-D MAN/CHARLES CHAN,QUICKSILVER/PIETRO M,1
3-D MAN/CHARLES CHAN,RED GHOST/IVAN KRAGO,1
3-D MAN/CHARLES CHAN,RED WOLF III/WILL TA,1
3-D MAN/CHARLES CHAN,REDWING,1
3-D MAN/CHARLES CHAN,"ROM, SPACEKNIGHT",1
3-D MAN/CHARLES CHAN,"ROSS, GEN. THADDEUS",2
3-D MAN/CHARLES CHAN,SABRA/RUTH BAT-SERAP,1
3-D MAN/CHARLES CHAN,SASQUATCH/WALTER LAN,1
3-D MAN/CHARLES CHAN,SCARLET WITCH/WANDA,1
3-D MAN/CHARLES CHAN,SERSI/SYLVIA,1
3-D MAN/CHARLES CHAN,SHADOWCAT/KATHERINE,1
3-D MAN/CHARLES CHAN,SHAMAN/MICHAEL TWOYO,1
3-D MAN/CHARLES CHAN,SHAMROCK/MOLLY FITZG,1
3-D MAN/CHARLES CHAN,SHANNA/SHANNA O'HARA,1
3-D MAN/CHARLES CHAN,SHE-HULK/JENNIFER WA,1
3-D MAN/CHARLES CHAN,SHROUD/MAXIMILLIAN Q,1
3-D MAN/CHARLES CHAN,"SLOAN, FRED",2
3-D MAN/CHARLES CHAN,SNOWBIRD/NARYA/ANNE,1
3-D MAN/CHARLES CHAN,SPIDER-MAN/PETER PAR,1
3-D MAN/CHARLES CHAN,SPIDER-WOMAN/JESSICA,1
3-D MAN/CHARLES CHAN,STINGRAY/DR. WALTER,1
3-D MAN/CHARLES CHAN,STORM/ORORO MUNROE S,1
3-D MAN/CHARLES CHAN,SUB-MARINER/NAMOR MA,1
3-D MAN/CHARLES CHAN,SUNFIRE/SHIRO YOSHID,1
3-D MAN/CHARLES CHAN,TALISMAN,1
3-D MAN/CHARLES CHAN,TEXAS TWISTER/DREW D,1
3-D MAN/CHARLES CHAN,THING/BENJAMIN J. GR,1
3-D MAN/CHARLES CHAN,THOR/DR. DONALD BLAK,1
3-D MAN/CHARLES CHAN,TIGRA/GREER NELSON,1
3-D MAN/CHARLES CHAN,TORPEDO III/BROCK JO,1
3-D MAN/CHARLES CHAN,TRITON,1
3-D MAN/CHARLES CHAN,URSA MAJOR/MIKHAIL U,1
3-D MAN/CHARLES CHAN,VALINOR,1
3-D MAN/CHARLES CHAN,VANGUARD/NICOLAI KRY,1
3-D MAN/CHARLES CHAN,VENUS II,3
3-D MAN/CHARLES CHAN,VISION,1
3-D MAN/CHARLES CHAN,WASP/JANET VAN DYNE,3
3-D MAN/CHARLES CHAN,WEREWOLF BY NIGHT/JA,1
3-D MAN/CHARLES CHAN,WHIZZER/ROBERT L. FR,1
3-D MAN/CHARLES CHAN,WOLVERINE/LOGAN,1
3-D MAN/CHARLES CHAN,WONDER MAN/SIMON WIL,1
3-D MAN/CHARLES CHAN,WOODGOD,2
4-D MAN/MERCURIO,ARCANNA/ARCANNA JONE,2
4-D MAN/MERCURIO,"AUSTIN, SUSAN",1
4-D MAN/MERCURIO,BALDER [ASGARDIAN],2
4-D MAN/MERCURIO,"BALLANTINE, KAYLA",1
4-D MAN/MERCURIO,BEAST/HENRY &HANK& P,1
4-D MAN/MERCURIO,BEAUTY,1
4-D MAN/MERCURIO,BETA RAY BILL,1
4-D MAN/MERCURIO,BI-BEAST II,2
4-D MAN/MERCURIO,CAPTAIN AMERICA,2
4-D MAN/MERCURIO,CAPTAIN MARVEL/CAPTA,1
4-D MAN/MERCURIO,CHARM,1
4-D MAN/MERCURIO,COBRA/KLAUS VORHEES,1
4-D MAN/MERCURIO,DEMONSTAFF,1
4-D MAN/MERCURIO,DIAMONDHEAD/DYKER,1
4-D MAN/MERCURIO,DR. SPECTRUM/JOSEPH,2
4-D MAN/MERCURIO,DRAGONFLY/VERONICA D,2
4-D MAN/MERCURIO,EGO-PRIME,1
4-D MAN/MERCURIO,EON,1
4-D MAN/MERCURIO,EXECUTIONER II/SKURG,1
4-D MAN/MERCURIO,FANDRAL [ASGARDIAN],4
4-D MAN/MERCURIO,"FERRARI, CONNIE",1
4-D MAN/MERCURIO,"FURY, COL. NICHOLAS",1
4-D MAN/MERCURIO,"GRANT, SILAS",3
4-D MAN/MERCURIO,GREY GARGOYLE/PAUL P,1
4-D MAN/MERCURIO,HAYWIRE/,1
4-D MAN/MERCURIO,HEIMDALL [ASGARDIAN],3
4-D MAN/MERCURIO,HILDEGARDE [ASGARDIA,4
4-D MAN/MERCURIO,HOGUN [ASGARDIAN],4
4-D MAN/MERCURIO,HYPERION,2
4-D MAN/MERCURIO,IRON MAN/TONY STARK,1
4-D MAN/MERCURIO,JAKAR,1
4-D MAN/MERCURIO,"JAMESON, J. JONAH",1
4-D MAN/MERCURIO,"JARVIS, EDWIN",2
4-D MAN/MERCURIO,"JONES, RICHARD MILHO",1
4-D MAN/MERCURIO,KARNILLA [ASGARDIAN],4
4-D MAN/MERCURIO,LADY LARK/LINDA LEWI,2
4-D MAN/MERCURIO,LOKI [ASGARDIAN],1
4-D MAN/MERCURIO,MAKKARI/MIKE KHARY/I,2
4-D MAN/MERCURIO,"MASTERSON, KEVIN",1
4-D MAN/MERCURIO,MINERVA [KREE],1
4-D MAN/MERCURIO,MOONDRAGON/HEATHER D,2
4-D MAN/MERCURIO,ODIN [ASGARDIAN],4
4-D MAN/MERCURIO,OVERMIND/GROM,2
4-D MAN/MERCURIO,"PARETSKY, DR. GARY",1
4-D MAN/MERCURIO,POWER PRINCESS/ZARDA,2
4-D MAN/MERCURIO,QUASAR III/WENDELL V,2
4-D MAN/MERCURIO,RED GUARDIAN III/DR.,1
4-D MAN/MERCURIO,"SAPRISTI, JERRY",1
4-D MAN/MERCURIO,SCARLET WITCH/WANDA,1
4-D MAN/MERCURIO,SERGEI,1
4-D MAN/MERCURIO,SERVITOR,1
4-D MAN/MERCURIO,SHANGA,1
4-D MAN/MERCURIO,SHAPE,1
4-D MAN/MERCURIO,SHATTERFIST/,1
4-D MAN/MERCURIO,SIF,4
4-D MAN/MERCURIO,STARDUST/T'URIN G'AR,2
4-D MAN/MERCURIO,"STEELE, BOBBY",1
4-D MAN/MERCURIO,"STEELE, MARCY MASTER",1
4-D MAN/MERCURIO,STRANGER,2
4-D MAN/MERCURIO,TANA NILE,3
4-D MAN/MERCURIO,"TANAKA, KENJIRO",1
4-D MAN/MERCURIO,TEN FOR,1
4-D MAN/MERCURIO,THOR IV/DARGO,1
4-D MAN/MERCURIO,THOR/DR. DONALD BLAK,4
4-D MAN/MERCURIO,THUNDERSTRIKE/ERIC K,1
4-D MAN/MERCURIO,TRUTH,1
4-D MAN/MERCURIO,TYRUS,1
4-D MAN/MERCURIO,UROC,1
4-D MAN/MERCURIO,VISION,2
4-D MAN/MERCURIO,VOLSTAGG,2
4-D MAN/MERCURIO,WHIZZER II/STANLEY S,2
4-D MAN/MERCURIO,"ZARRKO, ARTHUR",1
8-BALL/,"BAYLOR, FRANK",1
8-BALL/,COBWEB,1
8-BALL/,"CONOVER, ALYSSA",3
8-BALL/,"COOPER, WHITNEY III",1
8-BALL/,"EPSTEIN, MORRIS",1
8-BALL/,"EPSTEIN, MRS.",1
8-BALL/,MASTER LINK/WILLIS H,1
8-BALL/,"MCMURRAY, YVONNE",1
8-BALL/,MISSING LINK II/RAY,1
8-BALL/,RAMBO,2
8-BALL/,"SHERIDAN, RICHARD RI",3
8-BALL/,SLEEPWALKER,3
8-BALL/,UPLINK/HECTOR FUENTE,1
8-BALL/,WEAK LINK/ERNIE MILL,1
A,BLOK,3
A,COLOSSUS II/PETER RA,1
A,MR. X,3
A,NIGHTCRAWLER/KURT WA,2
A,ROGUE /,1
A,SABRETOOTH/VICTOR CR,1
A,T,3
A,WOLVERINE/LOGAN,3
A'YIN,BARAK,4
A'YIN,CAPTAIN BRITAIN/BRIA,4
A'YIN,COLOSSUS II/PETER RA,4
A'YIN,"CRAIG, REV.",1
A'YIN,CYPHER/DOUG RAMSEY,2
A'YIN,DAYTRIPPER/AMANDA SE,1
A'YIN,"MACTAGGERT, MOIRA KI",2
A'YIN,MAGIK/ILLYANA RASPUT,1
A'YIN,MEGGAN,4
A'YIN,NIGHTCRAWLER/KURT WA,4
A'YIN,PROFESSOR X/CHARLES,1
A'YIN,RA'AL,4
A'YIN,"RASPUTIN, NIKOLAI",1
A'YIN,"RASPUTINA, ALEXANDRA",1
A'YIN,SHADOWCAT/KATHERINE,4
A'YIN,SHAMROCK/MOLLY FITZG,1
A'YIN,SPIRAL,4
A'YIN,"SZARDOS, MARGALI",1
A'YIN,"WISDOM, PETER",4
A'YIN,WOLFSBANE/RAHNE SINC,4
A'YIN,XIANDU,3
"ABBOTT, JACK",COPPERHEAD IV/,1
"ABBOTT, JACK",DAREDEVIL/MATT MURDO,1
"ABBOTT, JACK","FITZGERALD, KENNY",1
"ABBOTT, JACK",GLADIATOR/MELVIN POT,1
"ABBOTT, JACK",KINGPIN/WILSON FISK,1
"ABBOTT, JACK",OWL/LELAND OWLSLEY,1
"ABBOTT, JACK",SPIDER-MAN/PETER PAR,1
"ABBOTT, JACK",STILT-MAN/WILBUR DAY,1
ABCISSA,ALBERT,2
ABCISSA,BEAST/HENRY &HANK& P,1
ABCISSA,ELSIE DEE,2
ABCISSA,"FURY, COL. NICHOLAS",1
ABCISSA,GAMBIT/REMY LEBEAU,1
ABCISSA,GATEWAY,1
ABCISSA,HUNTER IN DARKNESS,2
ABCISSA,JUBILEE/JUBILATION L,2
ABCISSA,MOJO,2
ABCISSA,MR. FANTASTIC/REED R,1
ABCISSA,MYSTIQUE/RAVEN DARKH,2
ABCISSA,PLASMA WRAITH,1
ABCISSA,SPIRAL,2
ABCISSA,THING/BENJAMIN J. GR,1
ABCISSA,WOLVERINE/LOGAN,2
ABEL,BAKER,2
ABEL,BEDLAM/JESSE AARONSO,2
ABEL,BOOMER/TABITHA SMITH,2
ABEL,CANNONBALL II/SAM GU,2
ABEL,CHARLIE,2
ABEL,DOMINO III/BEATRICE/,2
ABEL,THUNDERBIRD II/JAMES,2
ABEL,TRAVELER,1
ABEL,"TSUNG, MARCUS",2
ABEL,"WISDOM, PETER",2
ABEL,"WISDOM, ROMANY",1
ABOMINATION | MUTANT,ABSORBING MAN | MUTA,1
ABOMINATION | MUTANT,BETA RAY BILL | MUTA,1
ABOMINATION | MUTANT,BEYONDER | MUTANT X-,1
ABOMINATION | MUTANT,BLACK PANTHER | MUTA,1
ABOMINATION | MUTANT,BLOODSTORM | MUTANT,1
ABOMINATION | MUTANT,BROTHER VOODOO | MUT,1
ABOMINATION | MUTANT,BRUTE | MUTANT X-VER,1
ABOMINATION | MUTANT,CAPTAIN AMERICA | MU,1
ABOMINATION | MUTANT,DAREDEVIL | MUTANT X,1
ABOMINATION | MUTANT,DEVIL DINOSAUR | MUT,1
ABOMINATION | MUTANT,DR. DOOM | MUTANT X-,1
ABOMINATION | MUTANT,DR. OCTOPUS | MUTANT,1
ABOMINATION | MUTANT,DR. STRANGE | MUTANT,1
ABOMINATION | MUTANT,DRACULA | MUTANT X-V,1
ABOMINATION | MUTANT,DRAX | MUTANT X-VERS,1
ABOMINATION | MUTANT,ELEKTRA | MUTANT X-V,1
ABOMINATION | MUTANT,FANDRAL | MUTANT X-V,1
ABOMINATION | MUTANT,FIN FANG FOOM | MUTA,1
ABOMINATION | MUTANT,GAMBIT | MUTANT X-VE,1
ABOMINATION | MUTANT,GARGOYLE | MUTANT X-,1
ABOMINATION | MUTANT,"GREY, JEAN | MUTANT",1
ABOMINATION | MUTANT,HAVOK/ALEX SUMMERS,1
ABOMINATION | MUTANT,HOGUN | MUTANT X-VER,1
ABOMINATION | MUTANT,HULK | MUTANT X-VERS,1
ABOMINATION | MUTANT,ICE-MAN | MUTANT X-V,1
ABOMINATION | MUTANT,IRON FIST | MUTANT X,1
ABOMINATION | MUTANT,MAGNETO | MUTANT X-V,1
ABOMINATION | MUTANT,MAN-SPIDER | MUTANT,1
ABOMINATION | MUTANT,MOON KNIGHT | MUTANT,1
ABOMINATION | MUTANT,NAMORITA | MUTANT X-,1
ABOMINATION | MUTANT,NIGHTCRAWLER | MUTAN,1
ABOMINATION | MUTANT,NOVA | MUTANT X-VERS,1
ABOMINATION | MUTANT,POLARIS | MUTANT X-V,1
ABOMINATION | MUTANT,POWER MAN II | MUTAN,1
ABOMINATION | MUTANT,QUICKSILVER | MUTANT,1
ABOMINATION | MUTANT,RAVEN | MUTANT X-VER,1
ABOMINATION | MUTANT,"RICHARDS, REED | MUT",1
ABOMINATION | MUTANT,ROGUE | MUTANT X-VER,1
ABOMINATION | MUTANT,STINGRAY | MUTANT X-,1
ABOMINATION | MUTANT,STRONG GUY | MUTANT,1
ABOMINATION | MUTANT,SUB-MARINER | MUTANT,1
ABOMINATION | MUTANT,"SUMMERS, SCOTT III |",1
ABOMINATION | MUTANT,THOR | MUTANT X-VERS,1
ABOMINATION | MUTANT,VALKYRIE II | MUTANT,1
ABOMINATION | MUTANT,VOLSTAGG | MUTANT X-,1
ABOMINATION | MUTANT,WOLVERINE | MUTANT X,1
ABOMINATION | MUTANT,"YASHIDA, MARIKO | MU",1
ABOMINATION | MUTANT,YELLOWJACKET II | MU,1
ABOMINATION/EMIL BLO,ABSORBING MAN/CARL C,1
ABOMINATION/EMIL BLO,ACHILLES II/HELMUT,1
ABOMINATION/EMIL BLO,AJAX,1
ABOMINATION/EMIL BLO,"ALEXANDER, CARRIE",1
ABOMINATION/EMIL BLO,ANDROMEDA/ANDROMEDA,2
ABOMINATION/EMIL BLO,ANGEL III/HALLOWAY,1
ABOMINATION/EMIL BLO,ANGEL/WARREN KENNETH,2
ABOMINATION/EMIL BLO,ANT-MAN/DR. HENRY J.,1
ABOMINATION/EMIL BLO,"ARMBRUSTER, COLONEL",1
ABOMINATION/EMIL BLO,"ARMSTRONG, MYRA",1
ABOMINATION/EMIL BLO,ATALANTA,1
ABOMINATION/EMIL BLO,"BANNER, BETTY ROSS T",19
ABOMINATION/EMIL BLO,"BANNON, LANCE",1
ABOMINATION/EMIL BLO,BARON MORDO/KARL MOR,1
ABOMINATION/EMIL BLO,BEAST/HENRY &HANK& P,2
ABOMINATION/EMIL BLO,BEREET,3
ABOMINATION/EMIL BLO,BETTY-6,2
ABOMINATION/EMIL BLO,BEYONDER,1
ABOMINATION/EMIL BLO,BLACK PANTHER/T'CHAL,1
ABOMINATION/EMIL BLO,BUX,1
ABOMINATION/EMIL BLO,"CAGE, LUKE/CARL LUCA",1
ABOMINATION/EMIL BLO,CALLISTO,1
ABOMINATION/EMIL BLO,CANNONBALL II/SAM GU,1
ABOMINATION/EMIL BLO,CAPTAIN AMERICA,2
ABOMINATION/EMIL BLO,"CHALMERS, CYNTHIA",3
ABOMINATION/EMIL BLO,"CHALMERS, JUDGE ROBE",1
ABOMINATION/EMIL BLO,CHAR,2
ABOMINATION/EMIL BLO,CITIZEN V II/HELMUT,1
ABOMINATION/EMIL BLO,COLOSSUS II/PETER RA,5
ABOMINATION/EMIL BLO,CRYSTAL [INHUMAN],1
ABOMINATION/EMIL BLO,"CUSHING, KATE",1
ABOMINATION/EMIL BLO,CYBERSLIK,2
ABOMINATION/EMIL BLO,CYCLOPS/SCOTT SUMMER,1
ABOMINATION/EMIL BLO,CYPHER/DOUG RAMSEY,1
ABOMINATION/EMIL BLO,DAREDEVIL/MATT MURDO,1
ABOMINATION/EMIL BLO,DARK CRAWLER,1
ABOMINATION/EMIL BLO,"DEANGELO, DEVLIN",3
ABOMINATION/EMIL BLO,DEATH,1
ABOMINATION/EMIL BLO,DIABLO/ESTEBAN DE AB,1
ABOMINATION/EMIL BLO,DOC SAMSON/DR. LEONA,10
ABOMINATION/EMIL BLO,"DORNOVA-BLONSKY, NAD",7
ABOMINATION/EMIL BLO,DR. OCTOPUS/OTTO OCT,1
ABOMINATION/EMIL BLO,DR. STRANGE/STEPHEN,2
ABOMINATION/EMIL BLO,EENY,1
ABOMINATION/EMIL BLO,ELECTRO/MAX DILLON,1
ABOMINATION/EMIL BLO,ETERNITY/ADAM QADMON,1
ABOMINATION/EMIL BLO,FALCON/SAM WILSON,1
ABOMINATION/EMIL BLO,FIREBIRD/BONITA JUAR,2
ABOMINATION/EMIL BLO,FLO,1
ABOMINATION/EMIL BLO,FRENCHIE/JEAN-PAUL D,1
ABOMINATION/EMIL BLO,GATEWAY,1
ABOMINATION/EMIL BLO,GHAUR [DEVIANT],1
ABOMINATION/EMIL BLO,GREY GARGOYLE/PAUL P,1
ABOMINATION/EMIL BLO,GUARDIAN/JAMES MACDO,1
ABOMINATION/EMIL BLO,HAVOK/ALEX SUMMERS,3
ABOMINATION/EMIL BLO,HAWK,3
ABOMINATION/EMIL BLO,HECTOR II,1
ABOMINATION/EMIL BLO,HELLCAT/PATSY WALKER,1
ABOMINATION/EMIL BLO,HERCULES [GREEK GOD],1
ABOMINATION/EMIL BLO,HOTSHOT/LOUIS,1
ABOMINATION/EMIL BLO,HULK/DR. ROBERT BRUC,29
ABOMINATION/EMIL BLO,HUMAN TORCH/JOHNNY S,1
ABOMINATION/EMIL BLO,INVISIBLE WOMAN/SUE,1
ABOMINATION/EMIL BLO,IRON FIST/DANIEL RAN,1
ABOMINATION/EMIL BLO,IRON MAN/TONY STARK,2
ABOMINATION/EMIL BLO,IRONCLAD,1
ABOMINATION/EMIL BLO,JACK OF HEARTS/JACK,1
ABOMINATION/EMIL BLO,JACKKNIFE/JACK COLE,1
ABOMINATION/EMIL BLO,JAILBAIT/JESS,1
ABOMINATION/EMIL BLO,JAM/JASMINE ARCHER,1
ABOMINATION/EMIL BLO,"JAMESON, J. JONAH",2
ABOMINATION/EMIL BLO,"JONES, JANIS",2
ABOMINATION/EMIL BLO,"JONES, MARLO CHANDLE",3
ABOMINATION/EMIL BLO,"JONES, RICHARD MILHO",6
ABOMINATION/EMIL BLO,JOUST,1
ABOMINATION/EMIL BLO,JUGGERNAUT/CAIN MARK,1
ABOMINATION/EMIL BLO,KARMA/XI'AN COY MANH,1
ABOMINATION/EMIL BLO,KASPIN,2
ABOMINATION/EMIL BLO,"KENT, CLARK",2
ABOMINATION/EMIL BLO,KINGPIN/WILSON FISK,1
ABOMINATION/EMIL BLO,KRAVEN THE HUNTER/SE,1
ABOMINATION/EMIL BLO,"LANGSTROM, LIEUTENAN",1
ABOMINATION/EMIL BLO,LEADER/SAM STERNS,3
ABOMINATION/EMIL BLO,"LEEDS, NED",1
ABOMINATION/EMIL BLO,LIBRITO,2
ABOMINATION/EMIL BLO,"LIPSCOMB, DR. ANGELA",2
ABOMINATION/EMIL BLO,LLYRA/LLYRA MORRIS,1
ABOMINATION/EMIL BLO,LOCUST,1
ABOMINATION/EMIL BLO,MACHINE MAN/X-51,1
ABOMINATION/EMIL BLO,MAD DOG/COLONEL BUZZ,1
ABOMINATION/EMIL BLO,MADMAN/PHIL STERNS,2
ABOMINATION/EMIL BLO,MAGGOTT/JAPHETH,1
ABOMINATION/EMIL BLO,MAGMA/AMARA AQUILLA/,1
ABOMINATION/EMIL BLO,MAGNETO/MAGNUS/ERIC,1
ABOMINATION/EMIL BLO,MARITA,1
ABOMINATION/EMIL BLO,MARROW/SARAH,1
ABOMINATION/EMIL BLO,"MAXWELL, DR. WILFRED",1
ABOMINATION/EMIL BLO,MEANY,1
ABOMINATION/EMIL BLO,MEPHISTO,1
ABOMINATION/EMIL BLO,"MERCADO, JOY",1
ABOMINATION/EMIL BLO,MERCY,1
ABOMINATION/EMIL BLO,MO,1
ABOMINATION/EMIL BLO,MOCKINGBIRD/DR. BARB,1
ABOMINATION/EMIL BLO,MODOK/GEORGE TARLETO,4
ABOMINATION/EMIL BLO,MOK,2
ABOMINATION/EMIL BLO,MOLECULE MAN/OWEN RE,1
ABOMINATION/EMIL BLO,MOON KNIGHT/MARC SPE,1
ABOMINATION/EMIL BLO,"MORGAN, DR. VIVIAN",2
ABOMINATION/EMIL BLO,MR. FANTASTIC/REED R,1
ABOMINATION/EMIL BLO,MS. MARVEL II/SHARON,1
ABOMINATION/EMIL BLO,NIGHTCRAWLER/KURT WA,1
ABOMINATION/EMIL BLO,"NORRISS, SISTER BARB",1
ABOMINATION/EMIL BLO,ODIN [ASGARDIAN],1
ABOMINATION/EMIL BLO,OGRESS/,1
ABOMINATION/EMIL BLO,PARIS,1
ABOMINATION/EMIL BLO,"PARKER, MAY",1
ABOMINATION/EMIL BLO,PHOENIX III/RACHEL S,1
ABOMINATION/EMIL BLO,PO,2
ABOMINATION/EMIL BLO,PREECHA,2
ABOMINATION/EMIL BLO,PROFESSOR X/CHARLES,1
ABOMINATION/EMIL BLO,PSYLOCKE/ELISABETH B,3
ABOMINATION/EMIL BLO,QNAX,4
ABOMINATION/EMIL BLO,QUARRY,2
ABOMINATION/EMIL BLO,"QUARTERMAIN, CLAY",4
ABOMINATION/EMIL BLO,QUICKSILVER/PIETRO M,1
ABOMINATION/EMIL BLO,"RAHN, TAMARA",1
ABOMINATION/EMIL BLO,"REAGAN, RONALD",1
ABOMINATION/EMIL BLO,RED WOLF III/WILL TA,1
ABOMINATION/EMIL BLO,REDEEMER/CRAIG SAUND,1
ABOMINATION/EMIL BLO,"REYES, DR. CECELIA",1
ABOMINATION/EMIL BLO,RHINO,3
ABOMINATION/EMIL BLO,"RICHARDS, FRANKLIN B",1
ABOMINATION/EMIL BLO,ROCK/SAMUEL JOHN ROC,1
ABOMINATION/EMIL BLO,ROGUE /,4
ABOMINATION/EMIL BLO,"ROSS, GEN. THADDEUS",18
ABOMINATION/EMIL BLO,ROUST,2
ABOMINATION/EMIL BLO,SANDY,3
ABOMINATION/EMIL BLO,SASQUATCH/WALTER LAN,1
ABOMINATION/EMIL BLO,SCARLET WITCH/WANDA,1
ABOMINATION/EMIL BLO,SET,1
ABOMINATION/EMIL BLO,SHADOWCAT/KATHERINE,2
ABOMINATION/EMIL BLO,SHAMAN/MICHAEL TWOYO,1
ABOMINATION/EMIL BLO,SHE-HULK/JENNIFER WA,2
ABOMINATION/EMIL BLO,SHULK,2
ABOMINATION/EMIL BLO,SIF,1
